年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street,date
10510(實價),公寓,嘉義市嘉義市仁義新村31~60號,34.4,3房/1廳/1衛,1 /共5層,25.71,11.27,--,#NAME?,10.9,280萬,600台灣嘉義市西區31,23.4699693,120.4487861,育英里,2016/10/1
10511(實價),住宅大樓,嘉義市嘉義市八德路121~150號,22.8,2房/1廳/1衛,10 /共12層,25.52,3.26,--,#NAME?,11.8,302萬,600台灣嘉義市西區八德路117-127號,23.4858281,120.4305602,保福里,2016/11/1
10511(實價),住宅大樓,嘉義市嘉義市八德路121~150號,22.8,3房/1廳/1衛,12 /共12層,29.41,3.76,--,#NAME?,11.1,325萬,600台灣嘉義市西區八德路117-127號,23.4858281,120.4305602,保福里,2016/11/1
10509(實價),住宅大樓,嘉義市嘉義市八德路121~150號,22.6,3房/2廳/2衛,12 /共12層,29.41,3.76,--,#NAME?,7,205萬,600台灣嘉義市西區八德路117-127號,23.4858281,120.4305602,保福里,2016/9/1
10508(實價),住宅大樓,嘉義市嘉義市八德路121~150號,22.5,2房/2廳/1衛,10 /共12層,25.52,3.26,--,#NAME?,9.7,248萬,600台灣嘉義市西區八德路117-127號,23.4858281,120.4305602,保福里,2016/8/1
10510(實價),透天厝,嘉義市嘉義市八德路151~180號,36.3,3房/1廳/2衛,1 /共2層,34.38,27.23,--,#NAME?,13.1,450萬,600台灣嘉義市西區八德路157號,23.4869561,120.4303547,保福里,2016/10/1
10510(實價),住宅大樓,嘉義市嘉義市八德路181~210號,22.8,3房/1廳/2衛,6 /共12層,31.56,4,--,#NAME?,9.5,300萬,600台灣嘉義市西區八德路174號,23.4871625,120.4306552,保福里,2016/10/1
10505(實價),住宅大樓,嘉義市嘉義市八德路181~210號,22.4,3房/1廳/2衛,5 /共12層,31.87,3.95,--,#NAME?,7.8,250萬,600台灣嘉義市西區八德路174號,23.4871625,120.4306552,保福里,2016/5/1
10503(實價),住宅大樓,嘉義市嘉義市八德路181~210號,22.3,3房/2廳/2衛,11 /共12層,31.56,4,--,#NAME?,10.5,330萬,600台灣嘉義市西區八德路174號,23.4871625,120.4306552,保福里,2016/3/1
10503(實價),住宅大樓,嘉義市嘉義市八德路181~210號,22.3,3房/1廳/1衛,8 /共12層,31.87,3.95,--,#NAME?,8.8,280萬,600台灣嘉義市西區八德路174號,23.4871625,120.4306552,保福里,2016/3/1
10501(實價),住宅大樓,嘉義市嘉義市八德路181~210號,22.1,3房/2廳/2衛,5 /共12層,39.59,5.21,--,#NAME?,8.9,352萬,600台灣嘉義市西區八德路174號,23.4871625,120.4306552,保福里,2016/1/1
10502(實價),透天厝,嘉義市嘉義市八德路181巷1~30號,40.7,3房/2廳/2衛,1 /共2層,22.19,20.27,--,#NAME?,26.1,580萬,600台灣嘉義市西區八德路181巷13號,23.4875334,120.4298134,保福里,2016/2/1
10504(實價),透天厝,嘉義市嘉義市八德路211~240號,23.7,0房/0廳/0衛,1 /共1層,51.81,82.28,--,#NAME?,38.6,2000萬,600台灣嘉義市西區八德路240號,23.4888559,120.4305036,保安里,2016/4/1
10511(實價),透天厝,嘉義市嘉義市八德路288巷1~30號,35.5,4房/2廳/2衛,1 /共2層,19.79,16.34,--,#NAME?,9.9,195萬,600台灣嘉義市西區八德路2號,23.4827934,120.4312086,竹圍里,2016/11/1
10502(實價),透天厝,嘉義市嘉義市八德路29巷1~30號,30,3房/2廳/2衛,1 /共2層,50.12,40.54,--,#NAME?,16,800萬,600台灣嘉義市西區八德路2號,23.4827934,120.4312086,竹圍里,2016/2/1
10511(實價),住宅大樓,嘉義市嘉義市八德路301~330號,22,4房/2廳/2衛,9 /共16層,46.35,4.88,--,#NAME?,9.9,460萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/11/1
10510(實價),住宅大樓,嘉義市嘉義市八德路301~330號,21.9,3房/2廳/2衛,0 /共16層,34.21,3.63,--,#NAME?,10.8,368萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/10/1
10508(實價),辦公商業大樓,嘉義市嘉義市八德路301~330號,22.1,0房/0廳/2衛,6 /共12層,74.06,6.9,--,#NAME?,5.7,420萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/8/1
10508(實價),住宅大樓(含車位),嘉義市嘉義市八德路301~330號,22.1,3房/2廳/2衛,4 /共12層,36.48,3.18,--,#NAME?,9.8,356萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/8/1
10508(實價),住宅大樓,嘉義市嘉義市八德路301~330號,21.8,3房/2廳/2衛,5 /共16層,32.17,3.47,--,#NAME?,9.9,320萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/8/1
10507(實價),住宅大樓,嘉義市嘉義市八德路301~330號,21.7,3房/2廳/2衛,9 /共16層,46.35,4.88,--,#NAME?,6.8,315萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/7/1
10507(實價),住宅大樓(含車位),嘉義市嘉義市市西區八德路301~330號,22,3房/1廳/2衛,4 /共12層,36.48,3.18,--,#NAME?,7.7,280萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/7/1
10506(實價),住宅大樓,嘉義市嘉義市八德路301~330號,21.6,3房/2廳/3衛,8 /共16層,41.75,4.39,--,#NAME?,7.7,320萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/6/1
10506(實價),住宅大樓,嘉義市嘉義市八德路301~330號,21.6,3房/2廳/2衛,9 /共16層,34.52,3.69,--,#NAME?,9,310萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/6/1
10506(實價),住宅大樓,嘉義市嘉義市八德路301~330號,21.6,4房/2廳/2衛,14 /共16層,41.75,4.39,--,#NAME?,7.9,330萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/6/1
10503(實價),住宅大樓,嘉義市嘉義市八德路301~330號,21.3,3房/2廳/2衛,11 /共16層,34.21,3.63,--,#NAME?,8.1,278萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/3/1
10502(實價),住宅大樓(含車位),嘉義市嘉義市八德路301~330號,21.3,4房/1廳/2衛,3 /共16層,23.94,2.28,--,#NAME?,8.4,200萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/2/1
10502(實價),住宅大樓,嘉義市嘉義市八德路301~330號,21.6,3房/2廳/2衛,8 /共12層,33.6,3.11,--,#NAME?,9.7,325萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/2/1
10501(實價),住宅大樓,嘉義市嘉義市八德路301~330號,21.5,3房/2廳/2衛,6 /共12層,34.52,3.28,--,#NAME?,8.7,300萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/1/1
