年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street
10201(實價),透天厝,竹圍子段91~120地號,--,3房/2廳/2衛,1 /共0層,--,18.75,--,#NAME?,10.9萬,205萬,508台灣彰化縣和美鎮彰新路六段569號,24.1498762,120.5095588,湖內里
10203(實價),公寓,嘉義市嘉義市仁義新村31~60號,30.8,3房/2廳/1衛,5 /共5層,25.71,12.9,--,#NAME?,3.1萬,79萬,600台灣嘉義市西區31,23.4699693,120.4487861,育英里
10203(實價),公寓,嘉義市嘉義市仁義新村31~60號,30.8,2房/1廳/1衛,4 /共5層,24.02,12.9,--,#NAME?,2.9萬,70萬,600台灣嘉義市西區31,23.4699693,120.4487861,育英里
10207(實價),公寓,嘉義市嘉義市仁義新村31~60號,31.2,3房/2廳/1衛,3 /共5層,22.68,12.9,--,#NAME?,5.3萬,120萬,600台灣嘉義市西區31,23.4699693,120.4487861,育英里
10202(實價),住宅大樓,嘉義市嘉義市八德路121~150號,19,3房/2廳/2衛,10 /共12層,39.46,4.35,--,#NAME?,4.6萬,181萬,600台灣嘉義市西區八德路117-127號,23.4858281,120.4305602,保福里
10203(實價),住宅大樓,嘉義市嘉義市八德路121~150號,19.1,3房/2廳/3衛,9 /共12層,43.18,4.87,--,#NAME?,8.1萬,350萬,600台灣嘉義市西區八德路117-127號,23.4858281,120.4305602,保福里
10204(實價),住宅大樓,嘉義市嘉義市八德路121~150號,19.2,2房/2廳/1衛,11 /共12層,25.52,3.26,--,#NAME?,5.7萬,146萬,600台灣嘉義市西區八德路117-127號,23.4858281,120.4305602,保福里
10205(實價),住宅大樓,嘉義市嘉義市八德路121~150號,19.3,3房/2廳/2衛,11 /共12層,43.18,4.87,--,#NAME?,9.4萬,405萬,600台灣嘉義市西區八德路117-127號,23.4858281,120.4305602,保福里
10206(實價),住宅大樓,嘉義市嘉義市八德路121~150號,19.3,2房/1廳/1衛,10 /共12層,39.46,4.35,--,#NAME?,9.3萬,368萬,600台灣嘉義市西區八德路117-127號,23.4858281,120.4305602,保福里
10206(實價),住宅大樓,嘉義市嘉義市八德路121~150號,19.3,2房/1廳/2衛,11 /共12層,25.52,3.26,--,#NAME?,8.9萬,228萬,600台灣嘉義市西區八德路117-127號,23.4858281,120.4305602,保福里
10208(實價),住宅大樓,嘉義市嘉義市八德路121~150號,19.5,4房/2廳/2衛,9 /共12層,43.18,4.87,--,#NAME?,6.4萬,275萬,600台灣嘉義市西區八德路117-127號,23.4858281,120.4305602,保福里
10211(實價),住宅大樓,嘉義市嘉義市八德路121~150號,19.8,3房/2廳/2衛,9 /共12層,43.18,4.87,--,#NAME?,9.1萬,392萬,600台灣嘉義市西區八德路117-127號,23.4858281,120.4305602,保福里
