年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street
10306(實價),公寓,嘉義市嘉義市仁義新村31~60號,32.1,3房/1廳/1衛,5 /共5層,25,12.9,--,--萬,4萬,100萬,600台灣嘉義市西區31,23.4699693,120.4487861,育英里
10306(實價),公寓,嘉義市嘉義市仁義新村31~60號,32.1,3房/1廳/1衛,5 /共5層,25.03,11.27,--,--萬,3.4萬,86萬,600台灣嘉義市西區31,23.4699693,120.4487861,育英里
10308(實價),公寓,嘉義市嘉義市仁義新村31~60號,32.3,3房/1廳/1衛,5 /共5層,25.6,11.27,--,--萬,1.4萬,36萬,600台灣嘉義市西區31,23.4699693,120.4487861,育英里
10311(實價),公寓,嘉義市嘉義市仁義新村31~60號,32.5,3房/2廳/2衛,3 /共5層,25.71,12.9,--,--萬,4.9萬,125萬,600台灣嘉義市西區31,23.4699693,120.4487861,育英里
10308(實價),住宅大樓,嘉義市嘉義市八德路121~150號,20.5,2房/1廳/2衛,7 /共12層,29.41,3.76,--,--萬,9.1萬,268萬,600台灣嘉義市西區八德路117-127號,23.4858281,120.4305602,保福里
10310(實價),店面(店鋪),嘉義市嘉義市八德路121~150號,20.7,4房/2廳/3衛,1 /共12層,59.71,6.78,--,--萬,10.9萬,650萬,600台灣嘉義市西區八德路117-127號,23.4858281,120.4305602,保福里
10311(實價),住宅大樓,嘉義市嘉義市八德路121~150號,20.8,3房/2廳/2衛,7 /共12層,14.71,1.88,--,--萬,9.1萬,134萬,600台灣嘉義市西區八德路117-127號,23.4858281,120.4305602,保福里
10301(實價),住宅大樓,嘉義市嘉義市八德路181~210號,20.1,3房/2廳/2衛,11 /共12層,35.13,5.26,--,--萬,11萬,388萬,600台灣嘉義市西區八德路174號,23.4871625,120.4306552,保福里
10302(實價),住宅大樓,嘉義市嘉義市八德路181~210號,20.2,5房/1廳/4衛,1 /共12層,55.46,6.96,--,--萬,8.1萬,450萬,600台灣嘉義市西區八德路174號,23.4871625,120.4306552,保福里
10305(實價),住宅大樓,嘉義市嘉義市八德路181~210號,20.4,2房/2廳/1衛,9 /共12層,31.56,4,--,--萬,7.5萬,236萬,600台灣嘉義市西區八德路174號,23.4871625,120.4306552,保福里
10310(實價),住宅大樓,嘉義市嘉義市八德路181~210號,20.8,3房/2廳/2衛,12 /共12層,37.97,4.77,--,--萬,11.2萬,427萬,600台灣嘉義市西區八德路174號,23.4871625,120.4306552,保福里
10301(實價),透天厝,嘉義市嘉義市八德路181巷1~30號,38.6,3房/2廳/2衛,1 /共2層,22.19,20.27,--,--萬,21.6萬,480萬,600台灣嘉義市西區八德路181巷13號,23.4875334,120.4298134,保福里
10301(實價),透天厝,嘉義市嘉義市八德路181巷1~30號,33.5,3房/2廳/2衛,1 /共2層,23.79,21.48,--,--萬,10.5萬,250萬,600台灣嘉義市西區八德路181巷13號,23.4875334,120.4298134,保福里
10312(實價),店面(店鋪),嘉義市嘉義市八德路271~300號,0.9,4房/3廳/3衛,1 /共3層,59.81,33.28,--,--萬,26.3萬,1570萬,600台灣嘉義市西區八德路300號,23.490958,120.430367,保安里
10312(實價),店面(店鋪),嘉義市嘉義市八德路271~300號,0.9,4房/3廳/3衛,1 /共3層,61.76,29.95,--,--萬,28.3萬,1750萬,600台灣嘉義市西區八德路300號,23.490958,120.430367,保安里
10312(實價),透天厝,嘉義市嘉義市八德路271~300號,0.9,4房/3廳/3衛,1 /共3層,53.32,23.29,--,--萬,21.7萬,1155萬,600台灣嘉義市西區八德路300號,23.490958,120.430367,保安里
10312(實價),透天厝,嘉義市嘉義市八德路271~300號,0.9,4房/3廳/3衛,1 /共3層,52.37,23.6,--,--萬,24.8萬,1300萬,600台灣嘉義市西區八德路300號,23.490958,120.430367,保安里
10301(實價),住宅大樓,嘉義市嘉義市八德路301~330號,19.2,3房/2廳/2衛,13 /共16層,34.58,3.74,--,--萬,7.8萬,270萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里
10303(實價),住宅大樓,嘉義市嘉義市八德路301~330號,19.3,3房/2廳/2衛,12 /共16層,41.74,4.39,--,--萬,8.1萬,339萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里
10303(實價),住宅大樓,嘉義市嘉義市八德路301~330號,19.7,3房/2廳/2衛,5 /共12層,33.6,3.11,--,--萬,6.8萬,230萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里
10304(實價),住宅大樓,嘉義市嘉義市八德路301~330號,19.8,3房/1廳/2衛,11 /共12層,32.07,2.97,--,--萬,9萬,288萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里
10306(實價),住宅大樓,嘉義市嘉義市八德路301~330號,19.6,3房/2廳/2衛,6 /共16層,34.26,3.74,--,--萬,9萬,310萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里
10306(實價),住宅大樓,嘉義市嘉義市八德路301~330號,19.6,3房/1廳/2衛,2 /共16層,32.17,3.47,--,--萬,8.7萬,280萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里
10307(實價),住宅大樓,嘉義市嘉義市八德路301~330號,19.7,3房/2廳/2衛,4 /共16層,34.58,3.74,--,--萬,8.2萬,285萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里
10307(實價),住宅大樓,嘉義市嘉義市八德路301~330號,19.7,3房/1廳/2衛,9 /共16層,34.58,3.74,--,--萬,8.8萬,305萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里
10308(實價),住宅大樓,嘉義市嘉義市八德路301~330號,19.8,3房/2廳/2衛,15 /共16層,34.26,3.74,--,--萬,10.4萬,356萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里
10301(實價),華廈(含車位),嘉義市嘉義市八德路331~360號,20.2,3房/2廳/2衛,6 /共8層,46,7.86,--,--萬,6.1萬,282萬,600台灣嘉義市西區八德路332號,23.4912823,120.4302195,保安里
10304(實價),華廈,嘉義市嘉義市八德路331~360號,20.4,3房/2廳/2衛,2 /共8層,42,7.61,--,--萬,6.5萬,275萬,600台灣嘉義市西區八德路332號,23.4912823,120.4302195,保安里
10309(實價),華廈,嘉義市嘉義市八德路331~360號,20.8,3房/2廳/2衛,6 /共8層,46,7.86,--,--萬,9.3萬,430萬,600台灣嘉義市西區八德路332號,23.4912823,120.4302195,保安里
10302(實價),套房,嘉義市嘉義市力行街1~30號,19.3,1房/1廳/1衛,5 /共12層,11.75,1.31,--,--萬,7.2萬,85萬,600台灣嘉義市西區力行街30號,23.4736351,120.4381021,永和里
10304(實價),套房,嘉義市嘉義市力行街1~30號,19.4,1房/1廳/1衛,12 /共12層,18.23,2.08,--,--萬,7.5萬,136萬,600台灣嘉義市西區力行街30號,23.4736351,120.4381021,永和里
10303(實價),公寓,嘉義市嘉義市上海路121~150號,30.1,3房/2廳/2衛,4 /共5層,26.73,8.92,--,--萬,4.5萬,120萬,600台灣嘉義市西區上海路106-110號,23.4655441,120.4319231,車店里
10312(實價),公寓,嘉義市嘉義市上海路121~150號,30.8,2房/1廳/1衛,3 /共5層,23.81,8.88,--,--萬,5萬,120萬,600台灣嘉義市西區上海路106-110號,23.4655441,120.4319231,車店里
10305(實價),公寓,嘉義市嘉義市上海路91~120號,30.3,2房/1廳/1衛,4 /共5層,27.84,10.59,--,--萬,4.8萬,135萬,600台灣嘉義市西區上海路120號,23.4655479,120.432025,車店里
10308(實價),公寓,嘉義市嘉義市上海路91~120號,30.5,3房/1廳/2衛,3 /共5層,26.39,8.71,--,--萬,5.7萬,150萬,600台灣嘉義市西區上海路120號,23.4655479,120.432025,車店里
10308(實價),公寓,嘉義市嘉義市上海路91~120號,30.5,3房/2廳/2衛,4 /共5層,26.59,8.71,--,--萬,4.5萬,120萬,600台灣嘉義市西區上海路120號,23.4655479,120.432025,車店里
10302(實價),店面(店鋪),嘉義市嘉義市上海路211~240號,0.7,5房/2廳/4衛,1 /共4層,80.6,32.67,--,--萬,24.8萬,1998萬,600台灣嘉義市西區上海路212-224號,23.4671226,120.4332838,車店里
10303(實價),店面(店鋪)(含車位),嘉義市嘉義市西區車店里20鄰上海路211~240號,0.8,5房/3廳/4衛,2 /共4層,80.6,32.67,--,--萬,23.6萬,1900萬,600台灣嘉義市西區上海路212-224號,23.4671226,120.4332838,車店里
10304(實價),店面(店鋪)(含車位),嘉義市嘉義市上海路211~240號,0.8,6房/3廳/4衛,1 /共4層,80.6,32.67,--,--萬,23.3萬,1880萬,600台灣嘉義市西區上海路212-224號,23.4671226,120.4332838,車店里
10311(實價),店面(店鋪)(含車位),嘉義市嘉義市上海路211~240號,1.4,5房/3廳/4衛,1 /共4層,80.6,32.67,--,--萬,23.3萬,1880萬,600台灣嘉義市西區上海路212-224號,23.4671226,120.4332838,車店里
