項次,停車場名稱,地址,緯度,經度,收費方式,停車場型式,大型車,小型車,身障車位,婦女車位,博愛車位,機車,內含殘機車,收費時段,承商,聯絡電話
1,垂楊國小地下停車場,600嘉義市西區上海路354號,23.4707127,120.4391153,招標作業中，免費,立體,0,201,4,2,1,0,0,24小時,歐特儀股份有限公司,02-27057716
2,民族國小地下停車場,600嘉義市民族路189號,23.4766157,120.4564496,"計時:20元,5分鐘免費,1小時後每半小時10元,當日最高收費250元,身心障礙半價,月票:2400元",立體,0,199,4,6,,0,0,24小時,竑穗興業有限公司,05-2648501
3,中正公園地下停車場,600嘉義市東區垂楊路223號,23.474034,120.455123,"計時:20元 ,之後每30分鐘10元，每日最高收費200元，月票:2400元",立體,0,129,4,4,,0,0,24小時,竑穗興業有限公司,05-2648501
4,崇仁停車場,600嘉義市東區盧厝里紅毛埤217號,23.478996,120.4826403,免費,平面,0,52,2,,,0,0,24小時,竑穗興業有限公司(3F管理室:052231172),05-2648501
5,西市場大樓停車場,600嘉義市西區忠義街118號,23.4793267,120.4473797,"計時:20元(現場告示標準每半小時收費10元),每日最高200元，月票:2400元",立體,0,250,4,,,0,0,24小時,竑穗興業有限公司,05-2648501
6,停15停車場,600嘉義市東區市10鄉道329號,23.4740459,120.4737105,免費,平面,0,28,0,,,0,0,24小時,久禾科技有限公司,05-2648501
7,火車站前停車場,600嘉義市西區林森西路526號,23.4801499,120.4428159,"計時:20元,每半小時10元,每日最高200元,月票:2000元",平面,0,96,2,,,250,5,24小時,中興電工機械股份有限公司,04-22365433
10,北港路(停9)停車場, 600嘉義市西區北港路230號,23.478078,120.433967,"計時:20元 ,月票:2400元",平面,0,40,2,,,0,0,24小時,中興電工機械股份有限公司,04-22365433
11,停10(蘭停七)停車場,600嘉義市東區大雅路二段386巷18號,23.478397,120.473888,"計時:20元 ,月票:2400元",平面,0,36,3,,,0,0,24小時,中興電工機械股份有限公司,04-22365433
12,停14(蘭停八)停車場,600嘉義市大雅路二段433巷36-1號,23.4763949,120.4727447,"計時:20元 ,月票:2400元",平面,0,45,2,,,0,0,24小時,?亭停車事業股份有限公司,(02) 2788-8750
13,中央廣場地下停車場,600嘉義市東區民權路371號,23.4822535,120.4497159,"計時:20元,之後每半小時收10元,當日最高200元,月票:2400元",立體,0,130,4,,,0,0,,?亭停車事業股份有限公司,(02) 2788-8750
14,嘉義市政府前廣場臨時簡易停車場,600嘉義市東區忠孝路188號,23.4822106,120.454108,月租2400元。計時每小時20元，停放15分鐘內不收費，當日最高200元。,平面,0,220,5,,,0,0,,竑穗興業有限公司,05-2648501
16,西區臨時路外停車場,600嘉義市西區友愛路360號,23.484665,120.433849,招標中,平面,0,30,1,,,0,0,,,
19,河濱運動公園停車場,600嘉義市東區興仁街50號,23.4577588,120.4630195,免費,平面,0,23,0,,,108,0,,,
20,體育館停車場,600嘉義市東區彌陀路381號,23.473334,120.462459,免費,平面,0,30,0,,,36,0,,,
21,港坪運動公園停車場,600嘉義市西區大同路320號,23.4768381,120.4259586,免費,平面,0,88,0,,,178,0,,,
22,慢速壘球場停車場,600嘉義市西區新民路604-608號,23.4647804,120.4404734,免費,平面,0,86,0,,,100,0,,,
23,棒球場停車場,600嘉義市東區嘉義市山仔頂249-1號,23.4816554,120.46567,免費,平面,100,500,0,,,1044,0,,,
24,體育場停車場,600嘉義市東區體育路27號,23.4715164,120.4607918,免費,平面,4,129,0,,,110,0,,,
25,香湖公園停車場,600嘉義市西區文化路552號,23.4926435,120.4450234,免費,平面,2,30,2,,,0,0,,,
26,文化公園停車場(停6),600嘉義市東區興中街,23.4786331,120.4513444,"每小時20元,月繳1800元,季繳4500元",平面,0,151,3,,,0,0,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
